audio_id,text,true_label,true_label_id,prob_anger,prob_frust,prob_sadne,prob_neutr,prob_satis,goemo_anger,goemo_disgust,goemo_fear,goemo_joy,goemo_neutral,goemo_sadness,vader_pos,vader_neg,vader_neu,vader_compound,sb_ang,sb_hap,sb_sad,sb_neu
train_00000,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,3,2.408027648925781e-05,1.728534698486328e-06,1.1146068572998049e-05,1.0,0.0001702308654785,0.0117119560018181,0.0099033517763018,0.0233330260962247,0.020589055493474,0.8412572145462036,0.0318422131240367,0.0,0.0,1.0,0.0,0.0343276821076869,0.3753516674041748,0.0029660977888852,0.5873546004295349
train_00001,You mustve had your hands full.,neutral,3,5.859136581420898e-05,7.748603820800781e-07,7.277727127075195e-05,1.0,6.854534149169922e-06,0.2114917486906051,0.1455892622470855,0.0712290406227111,0.0288706328719854,0.3896889090538025,0.066029168665409,0.0,0.0,1.0,0.0,0.0034071495756506,0.0905148163437843,0.0013411829713732,0.9047367572784424
train_00002,No dont I beg of you!,frustration,1,2.384185791015625e-07,1.0,2.026557922363281e-06,8.940696716308594e-07,5.960464477539062e-07,0.3293710649013519,0.0131114143878221,0.6050061583518982,0.0071373060345649,0.0070270081050693,0.0228935051709413,0.0,0.333,0.667,-0.3595,0.2041848450899124,0.5381680727005005,0.000809809716884,0.2568372786045074
train_00003,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,3,3.635883331298828e-06,1.7881393432617188e-06,0.0002641677856445,0.99951171875,4.70280647277832e-05,0.021566342562437,0.0182787142693996,0.0281872823834419,0.2463619410991668,0.6660531759262085,0.0128391897305846,0.351,0.0,0.649,0.8979,0.1293402016162872,0.3929073214530945,0.0067408680915832,0.4710116386413574
train_00004,Absolutely.  You can relax,neutral,3,1.132488250732422e-06,1.6689300537109375e-06,1.5795230865478516e-05,1.0,3.850460052490234e-05,0.0074630011804401,0.0101251117885112,0.0044316789135336,0.3447455763816833,0.5786684155464172,0.0482663959264755,0.513,0.0,0.487,0.4877,0.0117435101419687,0.286833792924881,0.0023120276164263,0.6991106867790222
train_00005,That I did. That I did.,neutral,3,6.967782974243164e-05,3.5762786865234375e-07,9.5367431640625e-07,0.99951171875,0.0001888275146484,0.0726543217897415,0.0298899579793214,0.0058666090480983,0.0149106690660119,0.8523058295249939,0.0189751628786325,0.0,0.0,1.0,0.0,0.0211676619946956,0.8609470129013062,0.0067383632995188,0.1111469343304634
train_00006,So lets talk a little bit about your duties.,neutral,3,7.033348083496094e-06,7.152557373046875e-07,1.96695327758789e-06,1.0,7.510185241699219e-06,0.0285698417574167,0.0604386255145072,0.0173750445246696,0.0318901613354682,0.8402497172355652,0.0180476251989603,0.0,0.0,1.0,0.0,0.0498855523765087,0.5988285541534424,0.0009727907017804,0.350313127040863
train_00007,"Now youll be heading a whole division, so youll have a lot of duties.",neutral,3,3.2186508178710938e-06,1.5497207641601562e-06,2.092123031616211e-05,1.0,1.1265277862548828e-05,0.038508117198944,0.0378790311515331,0.0076737035997211,0.0107140764594078,0.8789054751396179,0.0099662384018301,0.0,0.0,1.0,0.0,0.040904015302658,0.2650529742240906,0.0329532325267791,0.6610897183418274
train_00008,I see.,neutral,3,0.000279426574707,8.559226989746094e-05,0.43994140625,0.5595703125,0.0004303455352783,0.0357085689902305,0.0867928266525268,0.0069647575728595,0.0205250661820173,0.1689569354057312,0.0047397627495229,0.0,0.0,1.0,0.0,0.0366555899381637,0.2435181438922882,0.0012922220630571,0.7185340523719788
train_00009,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral,3,5.364418029785156e-07,7.748603820800781e-07,1.4603137969970705e-05,0.99951171875,0.0002357959747314,0.013563722372055,0.0172076467424631,0.0049851178191602,0.0101570878177881,0.9249765872955322,0.0104607613757252,0.124,0.177,0.699,-0.2836,0.0394788272678852,0.4096933305263519,0.0045406818389892,0.5462871789932251
train_00010,Good to know.,neutral,3,4.881620407104492e-05,6.002187728881836e-05,0.71044921875,0.288330078125,0.00095796585083,0.0298342611640691,0.1487512737512588,0.0038919893559068,0.3174576163291931,0.4683898389339447,0.0279142614454031,0.592,0.0,0.408,0.4404,0.0252399630844593,0.7493581771850586,0.0061730202287435,0.2192287892103195
train_00011,We can go into detail,neutral,3,2.866983413696289e-05,7.748603820800781e-07,4.351139068603516e-06,1.0,5.543231964111328e-05,0.0095478119328618,0.0116073694080114,0.005465452093631,0.005874000955373,0.9451879262924194,0.0099477441981434,0.0,0.0,1.0,0.0,0.0049681896343827,0.3507728278636932,0.0162448454648256,0.6280141472816467
train_00012,Would you look at this dump? He hated us. This is his final revenge!,anger,0,1.0,5.364418029785156e-07,2.562999725341797e-06,4.285573959350586e-05,2.491474151611328e-05,0.6602668166160583,0.2729295790195465,0.0064956243149936,0.0034701456315815,0.0247176326811313,0.0171001330018043,0.0,0.498,0.502,-0.8977,0.5781422257423401,0.2282269448041916,0.0006565948133356,0.1929742991924286
train_00013,Have you ever seen so much crap?,anger,0,1.0,8.344650268554688e-07,1.1920928955078125e-06,2.92658805847168e-05,6.258487701416016e-06,0.0452934242784976,0.9280304312705994,0.0036932348739355,0.0005031056934967,0.0073991930112242,0.0031932699494063,0.0,0.324,0.676,-0.4364,0.9480863213539124,0.0194884780794382,0.0001256724353879,0.0322995148599147
train_00014,"Actually, I think this apartment sullies the good name of crap",anger,0,1.0,9.5367431640625e-07,7.152557373046875e-07,3.069639205932617e-05,2.1457672119140625e-06,0.0279868133366107,0.2370218634605407,0.003770402399823,0.1316347420215606,0.5740417242050171,0.0169601514935493,0.2,0.179,0.621,0.0772,0.08740945905447,0.5186574459075928,0.0003487469803076,0.3935843408107757
train_00015,Check this out. Can I have this?,neutral,3,5.125999450683594e-06,1.0132789611816406e-06,4.351139068603516e-06,0.99951171875,0.000563621520996,0.0139902755618095,0.0081677818670868,0.0038591085467487,0.0128181520849466,0.8110277652740479,0.0098951729014515,0.0,0.0,1.0,0.0,0.0296822097152471,0.3609128296375274,0.0007205259171314,0.6086843609809875
train_00016,What?,neutral,3,0.012481689453125,0.4912109375,0.397216796875,0.08660888671875,0.0124588012695312,0.0335566811263561,0.0138106560334563,0.0096677746623754,0.0025199151132255,0.0138688422739505,0.0043388498015701,0.0,0.0,1.0,0.0,0.0034311253111809,0.9731460809707642,0.0005260536563582,0.0228966884315013
train_00017,"I'm at work, ordinary day, you know, chop chop chop, sauti, sauti, sauti.",neutral,3,0.0061874389648437,5.900859832763672e-06,0.0002791881561279,0.99267578125,0.0009803771972656,0.0246128253638744,0.0415010452270507,0.0212807916104793,0.019158000126481,0.830498456954956,0.0142356446012854,0.0,0.0,1.0,0.0,0.0031265660654753,0.4018317461013794,0.0004484130768105,0.5945932865142822
train_00018,Yeah!,satisfaction,4,0.2060546875,0.0013666152954101,0.0045967102050781,0.04290771484375,0.7451171875,0.2749008238315582,0.0779222175478935,0.0106230108067393,0.1029990166425705,0.0482236929237842,0.0138657065108418,1.0,0.0,0.0,0.3595,0.0003024983161594,0.8019571900367737,0.0032671459484845,0.1944731175899505
train_00019,How much do you think I can get for my kidney?,neutral,3,4.935264587402344e-05,8.344650268554688e-07,2.80141830444336e-06,1.0,1.2874603271484377e-05,0.0151228504255414,0.0185859929770231,0.0109897376969456,0.0032080502714961,0.7757920622825623,0.0188609044998884,0.0,0.0,1.0,0.0,0.012716906145215,0.903100311756134,0.0007044626399874,0.0834782272577285
train_00020,"All of a sudden, Leon, the manager, calls me into his office.",neutral,3,1.1086463928222656e-05,7.152557373046875e-07,6.443262100219727e-05,1.0,4.184246063232422e-05,0.0105561222881078,0.0019325547618791,0.0096407420933246,0.002831652527675,0.0064823389984667,0.0013935768511146,0.0,0.0,1.0,0.0,0.0239675380289554,0.8075205087661743,0.0019550581928342,0.1665569394826889
train_00021,"It turns out they fired the head lunch chef, and guess who got the job.",satisfaction,4,9.119510650634766e-06,2.562999725341797e-06,1.2516975402832031e-06,9.447336196899414e-05,1.0,0.0781912356615066,0.0245505701750516,0.0049395272508263,0.1293544918298721,0.3039282858371734,0.0377921722829341,0.0,0.205,0.795,-0.5574,0.5917550325393677,0.3561925888061523,0.0010431766277179,0.0510091856122016
train_00022,"If it's not you, this is a horrible story.",sadness,2,5.960464477539062e-07,2.384185791015625e-07,1.0,7.510185241699219e-06,1.3709068298339844e-06,0.0250267721712589,0.1287788599729538,0.7972844243049622,0.0019630615133792,0.0162008572369813,0.0221030805259943,0.0,0.304,0.696,-0.5423,0.1512122899293899,0.7885362505912781,0.0019645411521196,0.0582868941128253
train_00023,"Fortunately, it is me.",satisfaction,4,7.62939453125e-06,5.960464477539063e-06,1.8477439880371092e-06,0.000102937221527,1.0,0.0052828141488134,0.0035500889644026,0.0022233903873711,0.3706189095973968,0.4060303568840027,0.0554897747933864,0.0,0.0,1.0,0.0,0.2053364664316177,0.6799511909484863,0.0020371319260448,0.1126752868294715
train_00024,"And, they made me head of purchasing, thank you very much.",satisfaction,4,5.841255187988281e-06,9.357929229736328e-06,2.1457672119140625e-06,0.0003421306610107,0.99951171875,0.0152792055159807,0.0065006772056221,0.0025089734699577,0.709506094455719,0.2243376076221466,0.0060656429268419,0.2,0.0,0.8,0.3612,0.3344430029392242,0.6270750164985657,0.029033213853836,0.0094488086178898
train_00025,"Anyway, I just ran into Ross and Chandler downstairs, and they think we should go out and celebrate.",satisfaction,4,7.748603820800781e-06,3.993511199951172e-06,9.5367431640625e-07,0.0001211166381835,1.0,0.0133107313886284,0.0059196786023676,0.0008367979316972,0.8305976986885071,0.1021415367722511,0.0174186304211616,0.179,0.0,0.821,0.5719,0.082587607204914,0.8546558022499084,0.0295605175197124,0.0331961214542388
train_00026,"Y'know, someplace nice.",neutral,3,7.748603820800781e-06,1.1920928955078125e-06,2.437829971313477e-05,1.0,4.0531158447265625e-06,0.0161089599132537,0.0748289003968238,0.005147136747837,0.1866667866706848,0.6904861927032471,0.014736283570528,0.583,0.0,0.417,0.4215,0.0076924106106162,0.2774828374385834,0.0019735577516257,0.7128511667251587
train_00027,"Yeah, someplace nice.",neutral,3,6.198883056640625e-06,2.205371856689453e-06,3.236532211303711e-05,1.0,1.0132789611816406e-05,0.0113843064755201,0.089056983590126,0.0052195386961102,0.2445997446775436,0.6152472496032715,0.0247955489903688,0.833,0.0,0.167,0.6124,0.3440197110176086,0.6209074258804321,0.0012520545860752,0.0338207520544528
train_00028,"So, what do you think?",neutral,3,0.0003509521484375,3.576278686523437e-06,1.621246337890625e-05,0.8828125,0.11669921875,0.1274190098047256,0.0422783866524696,0.0150570683181285,0.0437218733131885,0.4622379243373871,0.0115574076771736,0.0,0.0,1.0,0.0,0.774077296257019,0.0899872928857803,0.0006163949728943,0.135319098830223
train_00029,I think It's the most beautiful table I've ever seen.,satisfaction,4,2.443790435791016e-06,1.043081283569336e-05,3.039836883544922e-06,0.0001488924026489,1.0,0.0049452898092567,0.0049807070754468,0.0052185887470841,0.3092395365238189,0.0543805062770843,0.0039391824975609,0.318,0.0,0.682,0.6361,4.081687438883819e-05,0.9353597164154052,0.0248022284358739,0.0397973284125328
train_00030,I know!,satisfaction,4,0.62939453125,0.0013236999511718,0.0146026611328125,0.034759521484375,0.31982421875,0.1854531019926071,0.0886586755514144,0.0226432941854,0.1244316548109054,0.0465879328548908,0.0111370049417018,0.0,0.0,1.0,0.0,0.0031735205557197,0.909572422504425,0.0023691605310887,0.0848848223686218
train_00031,"So how does this work, you going to balance the plates on these little guys' heads?",neutral,3,2.86102294921875e-06,5.364418029785156e-07,2.026557922363281e-06,1.0,1.4066696166992188e-05,0.0506629049777984,0.0471398569643497,0.0072870845906436,0.0035160677507519,0.6615180969238281,0.0069390791468322,0.0,0.0,1.0,0.0,0.0127858901396393,0.2472627460956573,0.0017208585049957,0.7382305264472961
train_00032,"Who cares, we'll eat at the sink! Come on, let's play!",satisfaction,4,1.615285873413086e-05,3.75509262084961e-06,2.9802322387695312e-06,0.0001031160354614,1.0,0.3411237597465515,0.0942099541425705,0.0181306265294551,0.2595531940460205,0.2239547818899154,0.0323369950056076,0.399,0.0,0.601,0.717,0.0128995962440967,0.5871387720108032,0.0111194290220737,0.3888421654701233
train_00033,Heads up Ross!  Score!  You suck!,satisfaction,4,1.919269561767578e-05,1.7881393432617188e-06,2.9802322387695312e-06,5.257129669189453e-05,1.0,0.0676753744482994,0.0837691724300384,0.007629201747477,0.228783905506134,0.0662913993000984,0.2289080619812011,0.0,0.43,0.57,-0.5826,0.3205221891403198,0.6607192754745483,0.0020042434334754,0.0167542863637208
train_00034,Thank you. Just make yourself comfortable.,neutral,3,5.066394805908203e-06,1.0132789611816406e-06,3.2782554626464844e-06,1.0,0.0001085996627807,0.010921555571258,0.0126111414283514,0.0039563216269016,0.0108503997325897,0.9503800868988036,0.0062083122320473,0.592,0.0,0.408,0.7003,0.0062533030286431,0.5419845581054688,0.0008754183654673,0.4508867561817169
train_00035,Gotcha.,neutral,3,5.0067901611328125e-05,8.881092071533203e-06,0.0017499923706054,0.998046875,7.784366607666016e-05,0.1163124218583107,0.0467388108372688,0.0084847640246152,0.0236487202346324,0.7479507327079773,0.0115768387913703,0.0,0.0,1.0,0.0,0.0079736709594726,0.6643136143684387,0.0008771733264438,0.3268356323242187
train_00036,This place is really my Grandmothers.,neutral,3,0.0002667903900146,4.887580871582031e-06,0.0025177001953125,0.9970703125,2.712011337280273e-05,0.0421014241874218,0.052909318357706,0.0194520130753517,0.1702886968851089,0.4744535386562347,0.0315340273082256,0.0,0.0,1.0,0.0,0.0368839241564273,0.6847583055496216,0.0075619802810251,0.2707957923412323
